user_id	item_id	time
7188	104	1023840000
7188	101	1024185600
7188	102	1024185600
21815	152	1036627200
7188	23	1052611200
7188	116	1052611200
20354	176	1066003200
16383	151	1069459200
7722	20	1071619200
7722	70	1071619200
3039	175	1072656000
3039	204	1072656000
3039	850	1072656000
7188	317	1073260800
7188	327	1073520000
15465	4941	1073952000
15465	1026	1074988800
15465	62	1076198400
15465	4851	1076630400
8086	47	1076976000
1726	82	1077840000
1726	185	1077840000
1726	189	1077926400
4566	36	1078099200
15465	173	1078099200
4566	52	1079481600
15465	3394	1082419200
15465	989	1082851200
15465	99	1083110400
15465	290	1083110400
15465	2131	1083283200
15465	392	1083369600
15465	1073	1083369600
19849	30	1084233600
19849	2542	1084320000
12076	494	1084838400
12076	951	1084838400
12076	961	1084838400
12076	1283	1084838400
12076	2604	1084838400
15465	1580	1085011200
7188	158	1085356800
7188	256	1085356800
7188	740	1085443200
2530	747	1087689600
15644	119	1088467200
21978	59	1088467200
5704	667	1088985600
5704	70	1089504000
15465	5010	1090368000
19849	162	1091750400
21920	3404	1091750400
20869	3404	1092614400
1863	1066	1093046400
7722	17	1093651200
7722	429	1093651200
20869	241	1094774400
4898	336	1095465600
7188	129	1095724800
7188	494	1095724800
21978	76	1095984000
7188	262	1097884800
3245	560	1098489600
3245	842	1098489600
7188	493	1098748800
8961	148	1098835200
2697	373	1099094400
15465	420	1099180800
7188	99	1099353600
1670	438	1099526400
7029	571	1099526400
3245	47	1099785600
15465	1101	1102032000
7029	1093	1102982400
7029	573	1103500800
15465	560	1103673600
5286	709	1104278400
11386	672	1106006400
7029	572	1106179200
7029	574	1106179200
7029	560	1106265600
2504	573	1106524800
2714	784	1106956800
9654	592	1107043200
9654	595	1107043200
9654	3405	1107043200
9654	3409	1107043200
4660	1279	1107129600
4047	4511	1107216000
4407	420	1107388800
11386	574	1108080000
5704	649	1108339200
4047	1226	1108684800
15465	1051	1109635200
18480	62	1109808000
7188	295	1110585600
7188	728	1110585600
609	745	1110931200
609	1024	1110931200
4047	226	1111536000
4047	903	1111536000
11223	46	1112140800
11223	74	1112140800
11223	83	1112140800
5332	209	1113350400
4407	810	1113523200
5704	77	1113523200
15465	1017	1114992000
249	2845	1115337600
836	521	1115683200
2438	3511	1117670400
21168	1635	1117756800
11386	150	1118016000
15465	966	1118275200
7687	530	1118534400
15465	3100	1118707200
609	57	1119052800
609	697	1119052800
16888	34	1119139200
19849	112	1119312000
7188	110	1119484800
16888	29	1119484800
6364	1126	1119571200
2209	1611	1119830400
11386	561	1119830400
11688	506	1119830400
4428	1041	1120003200
15465	948	1120003200
4428	891	1120089600
15465	1036	1120089600
4660	259	1120176000
6975	514	1120176000
1863	564	1120262400
1863	1093	1120262400
7444	844	1120348800
4428	564	1120521600
4428	1086	1120521600
4428	1015	1120694400
4428	1093	1120867200
4428	1023	1120953600
5369	278	1121040000
7188	161	1121817600
16014	1126	1122163200
1611	458	1122336000
1863	45	1122422400
5243	520	1122681600
12521	498	1122854400
2438	706	1123200000
1863	367	1123459200
1616	845	1123891200
10036	210	1123891200
4428	394	1124064000
16100	190	1124150400
16100	209	1124150400
16100	688	1124150400
4428	619	1124668800
3195	745	1125964800
11244	430	1126137600
11244	777	1126137600
