user_id	item_id	time
6699	413	964742400
10631	242	966297600
3119	294	967680000
16241	286	968025600
16241	291	968025600
10631	218	970272000
10631	289	970358400
10631	211	970444800
6232	247	971136000
6232	249	971136000
6232	251	971136000
14194	211	972259200
14194	381	972259200
14194	423	972259200
13499	435	972604800
5330	338	974678400
14479	167	974678400
14479	179	974678400
9385	446	974851200
16241	292	975283200
12003	273	975715200
16241	289	975974400
12003	393	976233600
11739	167	978307200
11739	170	978307200
11739	177	978307200
11739	275	978393600
15758	176	978825600
15758	274	978825600
12509	267	978912000
14270	372	979171200
15758	183	979516800
15758	273	979516800
15758	11193	979516800
6284	170	979689600
6284	247	979689600
15758	170	979689600
15758	256	979689600
15758	271	979776000
12003	467	982195200
18509	349	982540800
11739	301	983232000
19393	408	983491200
12509	257	984614400
13482	252	987552000
13482	267	987552000
9177	181	988761600
9177	270	988761600
9177	275	988761600
12003	296	988848000
6821	207	988934400
12961	242	990230400
12961	520	990316800
16904	237	991008000
13098	4066	992304000
6284	528	992649600
15972	238	994377600
4132	403	996796800
17863	411	997056000
6284	256	997228800
6299	402	998438400
1996	403	998870400
1996	520	998870400
15213	208	998870400
17715	286	998956800
17715	383	998956800
17715	242	999043200
1996	242	999129600
1996	289	999129600
1996	381	999129600
1996	409	999129600
1996	423	999129600
1996	1280	999129600
10316	289	1000339200
1996	211	1000684800
1996	431	1000771200
12961	286	1000771200
1996	434	1001289600
1996	188	1001376000
5188	289	1001548800
6558	211	1001548800
6558	383	1001721600
10316	316	1001721600
10316	409	1002067200
19391	426	1002585600
16348	11193	1003104000
10316	285	1003190400
10316	412	1003449600
18396	181	1003449600
10316	286	1003536000
10316	403	1004832000
16348	180	1005091200
18396	273	1005091200
1996	332	1005177600
1996	333	1005177600
10316	287	1005264000
9041	329	1005609600
14933	180	1005782400
14933	352	1005782400
14933	578	1005782400
7304	520	1005868800
6319	316	1006128000
6319	409	1006128000
6319	211	1006214400
10157	188	1006473600
230	343	1006646400
18396	167	1006646400
18396	271	1006819200
18396	562	1006819200
7304	553	1006905600
9041	204	1006905600
9041	235	1006905600
6558	223	1006992000
941	294	1007164800
1612	316	1007164800
18396	249	1007251200
14993	423	1007510400
1234	381	1007683200
12509	181	1007683200
19391	275	1007683200
10316	188	1008115200
2153	22	1008201600
10316	264	1008288000
15547	409	1008460800
16904	168	1009238400
18366	325	1009238400
10316	59	1009324800
13499	249	1009324800
4452	537	1009497600
15547	536	1009497600
7809	225	1009584000
10316	396	1009584000
14098	529	1009584000
14098	595	1009584000
2094	464	1009670400
10316	329	1009756800
4011	590	1009929600
15547	381	1010102400
19357	409	1010102400
19357	520	1010102400
9975	520	1010188800
19357	316	1010188800
19357	431	1010275200
5330	181	1010361600
14270	601	1010448000
16197	409	1010448000
7752	254	1010534400
14106	565	1010534400
19357	522	1010534400
1249	396	1011139200
1249	475	1011139200
7304	224	1011312000
10316	475	1011312000
4011	180	1011744000
16348	247	1012348800
16348	263	1012348800
16348	265	1012348800
17863	235	1012867200
19357	204	1012867200
19357	245	1012867200
19357	329	1012867200
10784	245	1012953600
19357	530	1013472000
11809	537	1013731200
7771	465	1014076800
11809	408	1014249600
19357	595	1014336000
19357	412	1015113600
5577	520	1015891200
5330	475	1015977600
5577	418	1015977600
520	465	1016150400
10157	243	1016150400
6299	409	1016236800
19357	611	1016323200
19357	292	1016409600
19357	577	1016496000
13219	188	1016582400
2008	477	1016755200
16197	289	1016928000
16197	529	1016928000
12509	180	1017100800
15622	252	1017100800
16197	567	1017100800
1112	316	1017187200
19357	2136	1017187200
9956	529	1017273600
10572	439	1017532800
9210	371	1017705600
9210	379	1017705600
9210	585	1017705600
12843	520	1017792000
5577	412	1018310400
11026	289	1018396800
11026	529	1018396800
11026	537	1018396800
8575	534	1019433600
14335	188	1019520000
14901	286	1019520000
5049	352	1019692800
14335	601	1019952000
11692	578	1020211200
5467	412	1020384000
13112	423	1021334400
13112	500	1021334400
13112	609	1021334400
13112	610	1021334400
13112	187	1021852800
13112	434	1021852800
13112	495	1021852800
13112	536	1021852800
16592	295	1022025600
10784	2136	1022198400
1933	59	1022544000
16592	423	1022544000
16241	349	1022803200
1018	47	1023062400
1018	48	1023062400
13956	11193	1023148800
1569	646	1024099200
16348	181	1024617600
16348	396	1024617600
15140	523	1025049600
14589	566	1025136000
17726	631	1025308800
11026	574	1025568000
14589	383	1026172800
10316	173	1026604800
5049	408	1026691200
7786	168	1026691200
14098	575	1026691200
752	584	1027036800
10897	289	1027036800
10897	408	1027123200
5161	366	1027209600
17863	202	1027209600
5340	537	1027382400
11104	534	1027468800
17130	367	1027641600
9818	408	1028160000
9818	553	1028160000
880	612	1028505600
10741	409	1029456000
18687	295	1030665600
17863	396	1030838400
18366	326	1031097600
9503	482	1031270400
10316	901	1031702400
14589	273	1031788800
14589	289	1031788800
17245	2296	1031788800
4682	396	1031875200
16475	707	1032566400
13131	411	1033516800
943	646	1034035200
18687	214	1034121600
2896	698	1034208000
8527	539	1034812800
9503	184	1034812800
11901	275	1034812800
7809	520	1034985600
8403	178	1034985600
10316	204	1034985600
17863	648	1035072000
5609	567	1035244800
14270	59	1035417600
3802	353	1035504000
8050	611	1035504000
8403	177	1035676800
14334	325	1035676800
14334	400	1035676800
14334	405	1035676800
14334	406	1035676800
14334	407	1035676800
14334	676	1035676800
14334	2136	1035676800
2125	204	1035763200
2125	242	1035763200
12570	626	1035763200
2125	609	1035849600
5251	193	1035849600
5251	275	1035849600
960	520	1035936000
16564	396	1036022400
2841	465	1036108800
14334	174	1036195200
7058	612	1036281600
11756	520	1036281600
11756	534	1036281600
11756	537	1036281600
11756	625	1036281600
11756	627	1036281600
11756	650	1036281600
16592	378	1036368000
9385	258	1036454400
10157	646	1036454400
17182	396	1036540800
5161	423	1036886400
5161	396	1036972800
18509	648	1037059200
5161	578	1037145600
6221	601	1037145600
17174	635	1037145600
4120	275	1037232000
8079	289	1037232000
8079	408	1037232000
8079	409	1037232000
8079	534	1037232000
7963	568	1037664000
8429	529	1037750400
11811	635	1038009600
14334	196	1038009600
18366	180	1038182400
5655	11193	1038268800
2125	383	1038355200
8429	649	1038355200
15387	535	1038355200
8429	537	1038441600
5049	534	1038787200
5609	495	1038787200
1306	537	1038873600
1306	565	1038873600
5251	535	1038960000
7646	249	1038960000
4504	423	1039046400
12720	517	1039046400
19361	520	1039046400
19361	537	1039046400
19361	612	1039046400
19361	631	1039046400
10441	628	1039132800
14933	179	1039132800
16743	626	1039219200
18353	409	1039219200
19357	631	1039478400
10932	397	1039564800
4011	256	1039737600
6416	465	1040083200
6416	528	1040083200
6416	529	1040083200
6416	646	1040169600
5609	688	1040256000
13499	326	1040342400
8403	248	1040428800
8429	650	1040601600
16592	412	1040601600
16592	523	1040601600
5530	589	1040860800
11901	589	1040860800
13362	465	1040947200
15213	660	1040947200
1306	431	1041033600
1306	647	1041033600
17813	208	1041033600
8527	174	1041120000
18366	171	1041120000
18366	482	1041120000
2243	668	1041206400
1306	495	1041292800
5609	314	1041292800
16694	627	1041379200
16694	724	1041379200
6299	535	1041465600
15540	439	1041465600
1306	418	1041552000
3430	256	1041552000
17245	236	1041552000
18687	403	1041724800
19357	627	1041724800
16475	551	1041811200
1843	263	1041897600
2928	535	1041897600
2928	596	1041897600
5655	626	1041897600
5655	684	1041897600
3430	678	1041984000
10316	314	1041984000
7771	426	1042156800
7771	502	1042156800
16112	595	1042329600
8308	316	1042502400
8308	534	1042502400
8308	625	1042502400
8308	630	1042502400
16475	650	1042502400
19393	431	1042588800
2980	630	1042675200
14098	193	1042675200
12771	624	1042848000
19361	529	1042848000
19361	565	1042848000
19361	646	1042848000
19361	650	1042848000
8079	292	1043107200
8079	609	1043107200
10282	537	1043107200
5655	537	1043193600
8079	423	1043193600
8079	286	1043280000
12768	626	1043280000
16005	632	1043366400
16005	4465	1043366400
16112	409	1043625600
13506	566	1043712000
5955	276	1043884800
5955	343	1043884800
5955	624	1043884800
5955	630	1043884800
7302	568	1043884800
12768	554	1043884800
5955	626	1043971200
3298	574	1044057600
3298	595	1044057600
6589	205	1044230400
122	595	1044403200
8638	748	1044489600
7971	740	1044576000
520	650	1044835200
520	689	1044835200
18623	286	1045008000
19357	582	1045094400
19357	609	1045094400
19357	610	1045094400
13506	465	1045180800
14098	609	1045180800
17863	728	1045526400
8000	183	1045699200
8000	256	1045699200
18623	627	1045785600
9975	574	1045872000
18623	612	1045872000
6699	352	1046217600
13206	331	1046304000
13206	332	1046304000
13206	335	1046390400
7384	610	1046563200
3430	178	1046822400
13206	208	1046822400
14004	371	1046822400
5441	682	1046908800
5517	630	1046908800
7809	396	1046995200
17174	402	1047081600
17174	403	1047081600
8403	179	1047254400
7809	537	1047427200
11026	615	1047600000
4835	520	1047686400
4835	631	1047686400
4835	743	1047686400
13517	520	1047859200
13517	534	1047859200
7809	646	1047945600
8013	1240	1047945600
13506	627	1047945600
60	698	1048032000
7809	465	1048032000
17174	520	1048118400
1961	626	1048982400
13517	292	1049155200
7963	286	1049241600
7963	518	1049241600
7809	245	1049414400
9956	286	1049500800
3392	535	1049673600
8079	626	1049932800
8079	631	1049932800
5395	423	1050192000
3746	536	1050364800
3746	465	1050451200
9534	328	1050537600
9534	506	1050537600
9534	2296	1050537600
10316	647	1051142400
13206	334	1051142400
9401	626	1051228800
12720	626	1051660800
2491	185	1051747200
9897	748	1051747200
9897	750	1051747200
9897	609	1051833600
3188	464	1052352000
10784	627	1052438400
8936	237	1052784000
19357	723	1052784000
19357	724	1052784000
19357	745	1052784000
19357	795	1052784000
19357	767	1053216000
13216	354	1053475200
16112	748	1053561600
16592	511	1053561600
9534	534	1053648000
9401	647	1053820800
9401	698	1053820800
9534	767	1053820800
2491	627	1054080000
9534	727	1054598400
16947	790	1054598400
7117	767	1054684800
15602	629	1054684800
9534	766	1054944000
6427	331	1055116800
6427	332	1055116800
6427	334	1055116800
6427	335	1055116800
9503	658	1055203200
12720	218	1055289600
7809	534	1055376000
16947	791	1055376000
7974	626	1055462400
8461	267	1055462400
15154	791	1055548800
11809	436	1055721600
15140	409	1055721600
15140	520	1055721600
16592	396	1055721600
16592	535	1055721600
11809	520	1055894400
5955	259	1056067200
7384	762	1056240000
1569	761	1056326400
5065	465	1056326400
15190	790	1056412800
6821	633	1056499200
9956	303	1056672000
11809	381	1056844800
13206	337	1056931200
13206	711	1056931200
16592	536	1056931200
6699	1240	1057017600
12601	264	1057017600
12601	371	1057017600
12601	585	1057017600
13206	341	1057017600
13206	420	1057017600
13206	710	1057017600
7974	537	1057190400
7891	612	1057795200
9210	805	1058140800
2337	783	1058227200
12768	281	1058486400
12768	650	1058486400
12768	647	1058572800
16198	235	1058572800
16198	629	1058659200
14368	650	1058745600
3188	295	1058918400
3188	431	1058918400
3188	604	1058918400
6821	180	1058918400
12318	739	1058918400
4750	660	1059004800
10316	530	1059091200
966	529	1059350400
7971	309	1059436800
